user,location,text,sentiment,probability
avides_vgt,Ciudad de Guatemala,"con un click, en twhashtag  encontrara  proveedores de productos y servicios esenciales  🧴📦🖥️  que necesitan las… twurl",Positivo,85
cubacooperaveNE,Nueva Esparta,brigada medica cubana en nueva esparta: pesquisando la comunidad para prevenir la pandemia identificado nuevos caso… twurl,Positivo,76
soymferreira,"Madrid, Comunidad de Madrid","twhashtag otro de los grandes desafios de ver clases en venezuela bajo twhashtag o no hay internet, si lo hay se va l… twurl",Positivo,84
jjocampo_,Colombia,twhashtag el decreto de la emergencia economica  del  de marzo fue por  dias y se cumplen el viernes … twurl,Positivo,88
CyRiveraB,Ilo - Perú.,twhashtag twhashtag el twmention y la direccion regional de salud que a cierre de reporte : horas de… twurl,Positivo,93
OxfamenPeru,"Lima, Perú","en twhashtag % de mujeres tienen ingresos de la informalidad. trabajan en mercados, calles y el campo. gobi… twurl",Positivo,78
ElUniversal,Venezuela,"twhashtag si debes a salir a la calle porque tienes que adquirir un bien de primera necesidad, ponemos a tu disposic… twurl",Positivo,84
justiammyself,,twhashtag en serio acabo de hablar con mi hermano que tiene varios amigos con adolescentes y  de eso estan… twurl,Positivo,88
cdiazp93,"Lima, Peru",si medicos y enfermeras estan luchando por tener material de bioseguridad necesario.. ¿como estan los… twurl,Positivo,65
Ayto_Tulum,,en esta etapa de aislamiento por twhashtag hay muchas actividades que puedes realizar para mantener divertidos a lo… twurl,Positivo,90
RobertoP_Samper,,"la twhashtag siempre estara al lado de la solidaridad, en esta batalla contra la twhashtag nuestros medicos ay… twurl",Positivo,91
minuto70,,habla twmention de bulos en twmention el mayor bulo lo difundio el cuando dijo que no habia que tener miedo al… twurl,Positivo,76
bogaplentzia,Plentzia,"[video] virginia diaz, campeona de europa en skiff y dos sin timonel, explica como es su entrenamiento durante el c… twurl",Positivo,69
ecuadorenvivo,Ecuador,twhashtag union europea reorientara los fondos de sus proyectos en ecuador twurl twurl,Positivo,87
UNFPA_Ve,Venezuela,"evitemos riesgos, hoy mas que nunca nuestras familias, comunidad y pais nos necesita.adolescentes y jovenes tenemo… twurl",Positivo,79
EPAespanol,USA,tip twhashtag cuando use productos desinfectantes registrados por twmention siga las instrucciones para… twurl,Positivo,90
nncc,"Houston, TX","😃😄☝️👍“bautismo delivery”, pastor lleva salvacion en medio del covid- twurl twhashtag twurl",Positivo,83
leanmercado,"Madrid, Spain",siento ser tan vehemente.. han sido muchos años trabajando con y por farmaceutic@s. s un sector que ahora puede ser de… twurl,Positivo,62
AldcastRaisa,,"amigos, no me salieron ricas las albondigas que hice (mi primera vez) solo que mi esposo no esta listo para esa con… twurl",Positivo,81
